<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USCF.US,D,20231214,000000,25.47,25.4876,25.47,25.4876,210,0
USCF.US,D,20231215,000000,25.42,25.435,25.4,25.435,201,0
USCF.US,D,20231218,000000,25.63,25.63,25.5737,25.5737,200,0
USCF.US,D,20231219,000000,25.79,25.811,25.79,25.811,138,0
USCF.US,D,20231220,000000,25.81,25.81,25.4357,25.4357,200,0
USCF.US,D,20231221,000000,25.59,25.6456,25.59,25.6456,200,0
USCF.US,D,20231222,000000,25.82,25.82,25.7301,25.7301,200,0
USCF.US,D,20231226,000000,25.8,25.86,25.8,25.8468,201,0
USCF.US,D,20231227,000000,25.87,25.87,25.81,25.8435,305,0
USCF.US,D,20231228,000000,25.91,25.91,25.8141,25.8141,100,0
USCF.US,D,20231229,000000,25.74,25.7927,25.74,25.7927,200,0
USCF.US,D,20240102,000000,25.87,26.0766,25.87,26.0766,202,0
USCF.US,D,20240103,000000,26,26.0734,26,26.0734,100,0
USCF.US,D,20240104,000000,26.21,26.21,25.953,25.953,424,0
USCF.US,D,20240105,000000,26.28,26.28,26.04,26.0403,2051,0
USCF.US,D,20240108,000000,25.83,26.065,25.78,26.065,2118,0
USCF.US,D,20240109,000000,26.09,26.09,25.89,25.8999,221,0
USCF.US,D,20240110,000000,25.96,25.96,25.72,25.8111,202,0
USCF.US,D,20240111,000000,25.77,25.8609,25.73,25.8609,203,0
USCF.US,D,20240112,000000,26.13,26.13,25.87,25.8854,232,0
USCF.US,D,20240116,000000,25.91,25.91,25.65,25.6718,249,0
USCF.US,D,20240117,000000,25.6,25.6,25.5646,25.5646,120,0
USCF.US,D,20240118,000000,25.56,25.56,25.3499,25.5349,350,0
USCF.US,D,20240119,000000,25.72,25.8228,25.68,25.8228,241,0
USCF.US,D,20240122,000000,25.86,25.86,25.8,25.8191,200,0
USCF.US,D,20240123,000000,25.9,25.9,25.85,25.875,247,0
USCF.US,D,20240124,000000,26.13,26.13,26.015,26.015,357,0
USCF.US,D,20240125,000000,26.2,26.2,26.1,26.1694,261,0
USCF.US,D,20240126,000000,26.32,26.32,26.3,26.3,4902,0
USCF.US,D,20240129,000000,26.38,26.38,26.21,26.3094,1400,0
USCF.US,D,20240130,000000,26.39,26.54,26.38,26.5152,18949,0
USCF.US,D,20240131,000000,26.52,26.54,26.2279,26.2279,37950,0
USCF.US,D,20240201,000000,26.27,26.27,26.05,26.205,37119,0
