<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBINL.US,D,20241126,000000,25.48,25.65,25.47,25.48,308631,0
MBINL.US,D,20241127,000000,25.48,25.53,25.4,25.45,220379,0
MBINL.US,D,20241129,000000,25.48,25.6399,25.44,25.55,287191,0
MBINL.US,D,20241202,000000,25.49,25.73,25.49,25.67,166238,0
MBINL.US,D,20241203,000000,25.67,25.7399,25.6,25.64,81025,0
MBINL.US,D,20241204,000000,25.7,25.7,25.59,25.68,136568,0
MBINL.US,D,20241205,000000,25.74,25.88,25.698,25.85,471104,0
MBINL.US,D,20241206,000000,25.89,25.89,25.75,25.87,83108,0
MBINL.US,D,20241209,000000,25.81,25.89,25.79,25.83,24439,0
MBINL.US,D,20241210,000000,25.84,25.85,25.78,25.84,22897,0
MBINL.US,D,20241211,000000,25.8,25.9,25.7799,25.81,47635,0
MBINL.US,D,20241212,000000,25.79,25.88,25.73,25.78,65907,0
MBINL.US,D,20241213,000000,25.69,25.69,25.5019,25.65,87462,0
MBINL.US,D,20241216,000000,25.55,25.69,25.55,25.64,47161,0
MBINL.US,D,20241217,000000,25.6,25.68,25.58,25.65,41649,0
MBINL.US,D,20241218,000000,25.68,25.75,25.55,25.58,56814,0
MBINL.US,D,20241219,000000,25.41,25.53,25.4,25.44,66856,0
MBINL.US,D,20241220,000000,25.44,25.6,25.42,25.51,95466,0
MBINL.US,D,20241223,000000,25.54,25.55,25.43,25.46,52639,0
MBINL.US,D,20241224,000000,25.49,25.5,25.4,25.48,7909,0
MBINL.US,D,20241226,000000,25.44,25.44,25.41,25.44,39240,0
MBINL.US,D,20241227,000000,25.45,25.49,25.41,25.435,49140,0
MBINL.US,D,20241230,000000,25.4,25.49,25.39,25.415,83554,0
MBINL.US,D,20241231,000000,25.41,25.51,25.245,25.3,1134710,0
MBINL.US,D,20250102,000000,25.35,25.4599,25.35,25.42,66276,0
MBINL.US,D,20250103,000000,25.53,25.59,25.45,25.5,53233,0
MBINL.US,D,20250106,000000,25.575,25.6,25.47,25.48,45573,0
MBINL.US,D,20250107,000000,25.5,25.5,25.39,25.4,44170,0
MBINL.US,D,20250108,000000,25.3608,25.44,25.34,25.41,51877,0
MBINL.US,D,20250110,000000,25.32,25.32,24.95,24.95,192766,0
MBINL.US,D,20250113,000000,25,25.2199,24.97,25,108601,0
MBINL.US,D,20250114,000000,25,25.2899,24.97,25.21,465745,0
MBINL.US,D,20250115,000000,25.32,25.4999,25.32,25.42,24007,0
MBINL.US,D,20250116,000000,25.48,25.49,25.25,25.42,16102,0
MBINL.US,D,20250117,000000,25.4,25.48,25.33,25.4,34628,0
MBINL.US,D,20250121,000000,25.48,25.49,25.28,25.44,38755,0
MBINL.US,D,20250122,000000,25.44,25.51,25.4,25.51,10549,0
MBINL.US,D,20250123,000000,25.51,25.51,25.41,25.45,14773,0
MBINL.US,D,20250124,000000,25.4999,25.5999,25.45,25.52,14987,0
MBINL.US,D,20250127,000000,25.5,25.55,25.45,25.55,17230,0
MBINL.US,D,20250128,000000,25.6,25.61,25.5,25.6,18432,0
MBINL.US,D,20250129,000000,25.6,25.745,25.4406,25.68,18651,0
MBINL.US,D,20250130,000000,25.7,25.72,25.39,25.51,426573,0
MBINL.US,D,20250131,000000,25.58,25.58,25.26,25.28,1280863,0
MBINL.US,D,20250203,000000,25.2,25.35,25.1,25.28,69030,0
MBINL.US,D,20250204,000000,25.27,25.3999,25.26,25.34,11933,0
MBINL.US,D,20250205,000000,25.28,25.5799,25.28,25.44,36756,0
MBINL.US,D,20250206,000000,25.28,25.4985,25.28,25.39,10821,0
MBINL.US,D,20250207,000000,25.36,25.44,25.34,25.4,48599,0
MBINL.US,D,20250210,000000,25.4799,25.4799,25.37,25.4,25218,0
MBINL.US,D,20250211,000000,25.3701,25.43,25.36,25.38,16924,0
MBINL.US,D,20250212,000000,25.36,25.4,25.31,25.32,13708,0
MBINL.US,D,20250213,000000,25.45,25.45,25.29,25.39,40665,0
