<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOXM.US,D,20240905,000000,21.09,21.34,20.84,20.9625,9403,0
SOXM.US,D,20240906,000000,20.48,20.59,18.924,19.0672,4637,0
SOXM.US,D,20240909,000000,19.77,19.9357,19.27,19.9357,1866,0
SOXM.US,D,20240910,000000,19.93,20.43,19.54,20.3867,1132,0
SOXM.US,D,20240911,000000,20.81,22.5615,20.81,22.5615,349,0
SOXM.US,D,20240912,000000,22.508,22.508,22.2539,22.2539,1047,0
SOXM.US,D,20240913,000000,22.89,23.44,22.89,23.1526,4659,0
SOXM.US,D,20240916,000000,22.09,22.5,22.08,22.4841,2532,0
SOXM.US,D,20240917,000000,23.12,23.12,22.36,22.483,1624,0
SOXM.US,D,20240918,000000,23.04,23.04,21.9928,21.9928,539,0
SOXM.US,D,20240919,000000,23.62,23.9992,23.62,23.9992,1274,0
SOXM.US,D,20240920,000000,23.51,23.51,21.8,23.2478,3896,0
SOXM.US,D,20240923,000000,23.42,23.5,23.2,23.49,7284,0
SOXM.US,D,20240924,000000,24.08,24.13,23.5,24,3628,0
SOXM.US,D,20240925,000000,24.26,24.5855,24.17,24.3052,4267,0
SOXM.US,D,20240926,000000,26.38,26.57,25.3,26.223,13143,0
SOXM.US,D,20240927,000000,26.13,26.16,25.14,25.29,8483,0
SOXM.US,D,20240930,000000,25,25.44,24.229,24.84,4077,0
SOXM.US,D,20241001,000000,24.16,24.16,23.15,23.41,29823,0
SOXM.US,D,20241002,000000,23.67,25.24,23.6699,24.1,12315,0
SOXM.US,D,20241003,000000,24.17,24.335,23.48,24.25,4253,0
SOXM.US,D,20241004,000000,25.18,25.18,24.54,24.88,6951,0
SOXM.US,D,20241007,000000,24.58,25.83,24.45,24.78,61524,0
SOXM.US,D,20241008,000000,24.78,25.5,24.45,25.21,11573,0
SOXM.US,D,20241009,000000,25.07,25.73,24.97,25.73,7262,0
SOXM.US,D,20241010,000000,25.22,26.31,24.8,25.41,8798,0
SOXM.US,D,20241011,000000,25,25.91,25,25.77,10029,0
SOXM.US,D,20241014,000000,26.14,26.82,26.14,26.71,13438,0
SOXM.US,D,20241015,000000,26.83,26.85,23.8,24.08,25929,0
SOXM.US,D,20241016,000000,24.61,24.61,24.095,24.095,5476,0
SOXM.US,D,20241017,000000,25.2,25.4999,24.42,24.45,10480,0
SOXM.US,D,20241018,000000,24.44,24.49,24.3328,24.49,4232,0
SOXM.US,D,20241021,000000,24.21,24.49,23.9,24.38,5541,0
SOXM.US,D,20241022,000000,23.94,24.23,23.8,24.17,4623,0
SOXM.US,D,20241023,000000,24.07,24.1777,23,23.73,6686,0
SOXM.US,D,20241024,000000,23.75,23.995,23.7,23.92,2857,0
SOXM.US,D,20241025,000000,24.6717,25.15,24.45,24.45,16756,0
SOXM.US,D,20241028,000000,24.5949,24.6458,24.42,24.53,4496,0
SOXM.US,D,20241029,000000,24.34,25.68,24.34,25.68,11923,0
SOXM.US,D,20241030,000000,24.3,24.49,23.89,23.89,14866,0
SOXM.US,D,20241031,000000,23.4,23.4,21.7,21.98,14371,0
SOXM.US,D,20241101,000000,22.26,22.89,22.26,22.45,4724,0
SOXM.US,D,20241104,000000,22.34,22.78,22.02,22.19,6170,0
SOXM.US,D,20241105,000000,22.15,22.75,22.15,22.6652,8906,0
SOXM.US,D,20241106,000000,23.61,24.13,23.141,24,14707,0
