<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNRE.US,D,20241106,000000,46,47.9,46,47.9,4828,0
SNRE.US,D,20241107,000000,46.07,47.505,46,46.755,7139,0
SNRE.US,D,20241108,000000,46.26,47.35,46.25,47,3730,0
SNRE.US,D,20241111,000000,47.1,49.98,46.31,49.75,13572,0
SNRE.US,D,20241112,000000,47.32,50.67,47,50.28,10131,0
SNRE.US,D,20241113,000000,49,49,43,45.2,8865600,0
SNRE.US,D,20241114,000000,45,48.95,44.51,48,3057900,0
SNRE.US,D,20241115,000000,49.04,49.5,45.39,45.91,5604900,0
SNRE.US,D,20241118,000000,45.5,45.85,44.08,45.01,7858900,0
SNRE.US,D,20241119,000000,46.08,46.165,44.81,44.98,4246200,0
SNRE.US,D,20241120,000000,45.9,45.98,45.3,45.5,4404900,0
SNRE.US,D,20241121,000000,46.59,47.26,46.1601,46.65,4276700,0
SNRE.US,D,20241122,000000,46.8,47.07,46.03,46.16,1796000,0
SNRE.US,D,20241125,000000,47.22,47.37,45.41,45.89,3608108,0
SNRE.US,D,20241126,000000,45.92,45.93,44.57,45.1,2191357,0
SNRE.US,D,20241127,000000,45.34,45.93,44.86,45.9,2012720,0
SNRE.US,D,20241129,000000,47.83,49.59,47.79,48.51,2242493,0
SNRE.US,D,20241202,000000,48.23,48.25,46.5201,47.22,1321245,0
SNRE.US,D,20241203,000000,46.62,46.84,46.08,46.76,782009,0
SNRE.US,D,20241204,000000,47.7,48.62,47.47,48.07,966563,0
SNRE.US,D,20241205,000000,48.57,48.97,47.3089,48.03,920671,0
SNRE.US,D,20241206,000000,48.26,48.5,46.625,47.43,716208,0
SNRE.US,D,20241209,000000,46.95,46.975,45.49,45.79,670491,0
SNRE.US,D,20241210,000000,45.76,45.935,45.2201,45.62,296722,0
SNRE.US,D,20241211,000000,46.32,46.535,45.38,45.8,835039,0
SNRE.US,D,20241212,000000,46.48,47,46.26,46.51,973999,0
SNRE.US,D,20241213,000000,46.23,46.345,45.15,45.61,509670,0
SNRE.US,D,20241216,000000,45.66,45.685,44.55,44.78,611479,0
SNRE.US,D,20241217,000000,44.6,44.6,43.27,43.58,876903,0
SNRE.US,D,20241218,000000,44.35,45.07,43.14,43.3,806387,0
SNRE.US,D,20241219,000000,44,44.055,42.929,43.21,779886,0
SNRE.US,D,20241220,000000,43.65,44.38,43.45,44.23,693292,0
SNRE.US,D,20241223,000000,43.74,44.1,43.24,43.68,489192,0
SNRE.US,D,20241224,000000,43.29,43.348,43.01,43.34,169389,0
SNRE.US,D,20241226,000000,43.03,43.71,42.98,43.6,215149,0
SNRE.US,D,20241227,000000,43.32,43.72,43.13,43.45,248121,0
SNRE.US,D,20241230,000000,43.6,43.69,43.07,43.31,329133,0
SNRE.US,D,20241231,000000,43.29,43.3,42.51,43.08,403588,0
SNRE.US,D,20250102,000000,43.01,43.39,42.7,43.27,243608,0
SNRE.US,D,20250103,000000,43.44,43.68,43.26,43.27,310817,0
SNRE.US,D,20250106,000000,43.78,45.065,43.76,44.32,284239,0
SNRE.US,D,20250107,000000,45.17,45.92,45.08,45.08,384857,0
SNRE.US,D,20250108,000000,46.1,46.945,46.1,46.92,685122,0
SNRE.US,D,20250110,000000,46.9,47.01,45.39,45.4,556375,0
SNRE.US,D,20250113,000000,44.34,45.035,44.14,44.9,454348,0
SNRE.US,D,20250114,000000,46.54,46.66,45.72,46.28,926388,0
SNRE.US,D,20250115,000000,46.59,46.66,45.72,45.91,480515,0
SNRE.US,D,20250116,000000,46.21,46.28,45.84,46.01,306750,0
SNRE.US,D,20250117,000000,46.81,47.435,46.53,46.6,603597,0
SNRE.US,D,20250121,000000,47,47.45,46.925,47.1,493243,0
SNRE.US,D,20250122,000000,48.53,48.69,47.98,48.15,677548,0
SNRE.US,D,20250123,000000,47.89,48.38,47.74,48.37,253643,0
SNRE.US,D,20250124,000000,48.04,48.27,47.66,47.8,324722,0
SNRE.US,D,20250127,000000,48.14,48.73,47.79,48.57,385637,0
SNRE.US,D,20250128,000000,49.1,49.54,48.95,49.21,358112,0
SNRE.US,D,20250129,000000,49.18,49.71,49.08,49.67,348352,0
SNRE.US,D,20250130,000000,49.7,49.76,49.08,49.31,250601,0
SNRE.US,D,20250131,000000,50.19,50.4,49.69,49.73,486810,0
SNRE.US,D,20250203,000000,49.69,50.335,49.18,49.98,299430,0
SNRE.US,D,20250204,000000,50.29,50.55,49.92,50.18,290576,0
SNRE.US,D,20250205,000000,50.31,50.63,49.91,49.97,454371,0
SNRE.US,D,20250206,000000,49.36,49.68,48.8613,49.1,332012,0
SNRE.US,D,20250207,000000,48.17,48.17,47.25,47.64,360835,0
SNRE.US,D,20250210,000000,47.6,47.8,47.15,47.23,441037,0
SNRE.US,D,20250211,000000,47.48,47.66,47.15,47.31,310121,0
SNRE.US,D,20250212,000000,46.95,47.18,46.64,47.05,387137,0
SNRE.US,D,20250213,000000,48.1,48.45,47.81,47.97,405665,0
