<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEHC.US,D,20241210,000000,9,9,4.63,5.73,650354,0
NEHC.US,D,20241211,000000,5.52,5.75,3.61,5.21,376400,0
NEHC.US,D,20241212,000000,5.06,5.1,4.0331,4.43,247834,0
NEHC.US,D,20241213,000000,4.13,4.39,3.15,3.41,154717,0
NEHC.US,D,20241216,000000,3.58,3.58,2.4,2.4,336423,0
NEHC.US,D,20241217,000000,2.72,3.3,2.21,3.15,621894,0
NEHC.US,D,20241218,000000,3.19,3.24,2.7501,2.95,195200,0
NEHC.US,D,20241219,000000,2.85,3,2.57,2.65,174573,0
NEHC.US,D,20241220,000000,2.73,2.95,2.5901,2.86,189793,0
NEHC.US,D,20241223,000000,2.97,3.0701,2.73,2.8,151010,0
NEHC.US,D,20241224,000000,2.78,2.82,2.6,2.73,88518,0
NEHC.US,D,20241226,000000,2.88,4.25,2.7,3.6,1165604,0
NEHC.US,D,20241227,000000,3.87,4.25,3.6853,3.81,587486,0
NEHC.US,D,20241230,000000,3.96,4.9499,3.8,4.9,565569,0
NEHC.US,D,20241231,000000,5.53,7.87,5.35,6,1898412,0
NEHC.US,D,20250102,000000,6.49,6.7745,3.91,4.89,1247315,0
NEHC.US,D,20250103,000000,4.31,4.78,3.7601,4.2,669348,0
NEHC.US,D,20250106,000000,4.85,5.71,4.7,5.05,1180133,0
NEHC.US,D,20250107,000000,5,5.14,4.35,4.63,294066,0
NEHC.US,D,20250108,000000,4.64,5.0715,4.45,4.46,161768,0
NEHC.US,D,20250110,000000,4.46,4.6899,3.4,3.46,436533,0
NEHC.US,D,20250113,000000,3.69,3.9508,3.35,3.63,180681,0
NEHC.US,D,20250114,000000,3.6,3.79,3.2,3.39,150649,0
NEHC.US,D,20250115,000000,3.47,3.613,2.74,3,263072,0
NEHC.US,D,20250116,000000,2.97,3.155,2.85,3,132616,0
NEHC.US,D,20250117,000000,3,3.17,2.91,2.99,263416,0
NEHC.US,D,20250121,000000,3.09,3.2395,2.63,2.74,3587201,0
NEHC.US,D,20250122,000000,4.18,4.32,2.78,3.02,30524619,0
NEHC.US,D,20250123,000000,2.82,3.22,2.61,2.9,1588710,0
NEHC.US,D,20250124,000000,2.96,3.02,2.85,2.94,575082,0
NEHC.US,D,20250127,000000,2.72,2.94,2.64,2.87,365380,0
NEHC.US,D,20250128,000000,2.81,3.02,2.8002,2.94,202311,0
NEHC.US,D,20250129,000000,2.97,3.19,2.85,2.97,358620,0
NEHC.US,D,20250130,000000,2.95,3.11,2.81,2.94,376049,0
NEHC.US,D,20250131,000000,2.94,2.94,2.61,2.7,609794,0
NEHC.US,D,20250203,000000,2.62,2.65,2.44,2.54,320057,0
NEHC.US,D,20250204,000000,2.53,2.75,2.5,2.59,243673,0
NEHC.US,D,20250205,000000,2.53,2.64,2.51,2.6,169943,0
NEHC.US,D,20250206,000000,2.63,2.63,2.41,2.48,259723,0
NEHC.US,D,20250207,000000,2.45,2.46,2.34,2.41,140673,0
NEHC.US,D,20250210,000000,2.37,2.685,2.37,2.55,344462,0
NEHC.US,D,20250211,000000,2.53,2.6,2.36,2.45,176546,0
NEHC.US,D,20250212,000000,2.41,2.5,2.35,2.46,103487,0
NEHC.US,D,20250213,000000,2.48,2.5199,2.3604,2.46,125558,0
