<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPHL.US,D,20241017,000000,5,5.5,3.8,4.25,999800,0
SPHL.US,D,20241018,000000,4.12,4.3894,3.91,4.16,210329,0
SPHL.US,D,20241021,000000,4.1114,4.39,4.05,4.38,310326,0
SPHL.US,D,20241022,000000,4.25,4.37,4.2,4.28,152902,0
SPHL.US,D,20241023,000000,4.31,4.34,4.21,4.26,127296,0
SPHL.US,D,20241024,000000,4.3,4.39,4.2279,4.379,151822,0
SPHL.US,D,20241025,000000,4.23,4.63,4.2,4.38,237961,0
SPHL.US,D,20241028,000000,4.38,4.9,4.14,4.66,365085,0
SPHL.US,D,20241029,000000,4.74,4.85,4.61,4.73,29834,0
SPHL.US,D,20241030,000000,4.63,4.85,4.63,4.67,126034,0
SPHL.US,D,20241031,000000,4.75,4.9,4.5,4.71,125933,0
SPHL.US,D,20241101,000000,4.7,4.76,4.4,4.53,75883,0
SPHL.US,D,20241104,000000,4.54,4.71,4.3,4.4,123498,0
SPHL.US,D,20241105,000000,4.45,4.531,4.338,4.4,84119,0
SPHL.US,D,20241106,000000,4.46,4.46,3.819,4.05,85243,0
SPHL.US,D,20241107,000000,4.16,4.27,4,4.01,149350,0
SPHL.US,D,20241108,000000,4.14,4.34,4.08,4.27,121174,0
SPHL.US,D,20241111,000000,4.3,4.39,4,4.13,68653,0
SPHL.US,D,20241112,000000,3.99,4.431,3.85,4.431,113070,0
SPHL.US,D,20241113,000000,4.2,4.4,4.11,4.25,241543,0
SPHL.US,D,20241114,000000,4.35,4.66,4.2,4.58,96827,0
SPHL.US,D,20241115,000000,4.59,4.6,4.2601,4.47,130860,0
SPHL.US,D,20241118,000000,4.49,4.522,4.3,4.4,20535,0
SPHL.US,D,20241119,000000,4.47,4.72,4.33,4.6,118754,0
SPHL.US,D,20241120,000000,4.55,4.64,4.3899,4.39,92330,0
SPHL.US,D,20241121,000000,4.36,4.94,4.36,4.8,59475,0
SPHL.US,D,20241122,000000,4.95,5.06,4.3503,4.74,104372,0
SPHL.US,D,20241125,000000,4.51,4.95,4.2,4.6,129686,0
SPHL.US,D,20241126,000000,4.61,4.63,4.25,4.31,45578,0
SPHL.US,D,20241127,000000,4.535,4.55,3.84,4.4,50387,0
SPHL.US,D,20241129,000000,4.51,4.5501,4.05,4.3,18070,0
SPHL.US,D,20241202,000000,4.155,4.29,4.11,4.2,21902,0
SPHL.US,D,20241203,000000,4.2,4.43,4.12,4.41,29145,0
SPHL.US,D,20241204,000000,4.45,4.45,4.28,4.38,42244,0
SPHL.US,D,20241205,000000,4.49,4.64,4.2,4.23,177952,0
SPHL.US,D,20241206,000000,4.17,4.89,4.17,4.6,91455,0
SPHL.US,D,20241209,000000,4.633,5.21,4.633,4.73,128003,0
SPHL.US,D,20241210,000000,4.86,5,4.65,4.87,62180,0
SPHL.US,D,20241211,000000,5.06,5.665,4.98,5.21,174090,0
SPHL.US,D,20241212,000000,5.27,5.6,5.2,5.42,94078,0
SPHL.US,D,20241213,000000,5.57,5.838,5.32,5.8,103480,0
SPHL.US,D,20241216,000000,5.71,5.93,5.62,5.76,153401,0
SPHL.US,D,20241217,000000,5.74,5.95,5.5701,5.89,219346,0
SPHL.US,D,20241218,000000,5.83,5.89,5.6501,5.7,107491,0
SPHL.US,D,20241219,000000,5.73,5.88,5.66,5.73,63374,0
SPHL.US,D,20241220,000000,5.5,5.9,5.43,5.74,160735,0
SPHL.US,D,20241223,000000,5.7,5.71,5,5.05,249765,0
SPHL.US,D,20241224,000000,5.2,5.5,4.77,4.95,112535,0
SPHL.US,D,20241226,000000,4.88,5.99,4.795,5.83,320676,0
SPHL.US,D,20241227,000000,5.89,6.24,5.7505,6.03,249472,0
SPHL.US,D,20241230,000000,6.12,6.76,6.1,6.63,93783,0
SPHL.US,D,20241231,000000,6.7,7.155,6.401,6.51,162430,0
SPHL.US,D,20250102,000000,6.5,6.71,5.75,5.87,450210,0
SPHL.US,D,20250103,000000,5.87,6.8,5.8501,6.03,548495,0
SPHL.US,D,20250106,000000,6.4,6.74,6.0005,6.4,428999,0
SPHL.US,D,20250107,000000,6.5,6.75,6,6.06,574909,0
SPHL.US,D,20250108,000000,6.13,6.5347,5.6147,6,334922,0
SPHL.US,D,20250110,000000,6.02,6.15,5.655,5.84,322403,0
SPHL.US,D,20250113,000000,5.9,5.9,4.14,4.73,123241,0
SPHL.US,D,20250114,000000,4.48,4.9,4.31,4.78,1086607,0
SPHL.US,D,20250115,000000,4.8,4.8,2.71,3.51,636625,0
SPHL.US,D,20250116,000000,3.33,4.12,2.931,3.51,198774,0
SPHL.US,D,20250117,000000,3.6,3.79,3.06,3.12,385499,0
SPHL.US,D,20250121,000000,3.08,3.265,2.48,2.59,148829,0
SPHL.US,D,20250122,000000,2.56,2.6429,2.0149,2.27,71493,0
SPHL.US,D,20250123,000000,2.24,2.8,2.24,2.47,122984,0
SPHL.US,D,20250124,000000,2.5,3.0478,2.33,2.33,281374,0
SPHL.US,D,20250127,000000,2.33,2.58,2.1229,2.3,67091,0
SPHL.US,D,20250128,000000,2.3899,2.65,2.16,2.42,316937,0
SPHL.US,D,20250129,000000,2.5,2.51,2.35,2.38,10298,0
SPHL.US,D,20250130,000000,2.38,2.47,2.1331,2.35,286768,0
SPHL.US,D,20250131,000000,2.35,2.5053,1.895,2.05,45646,0
SPHL.US,D,20250203,000000,1.87,2.0892,1.7,1.92,5788,0
SPHL.US,D,20250204,000000,1.85,2.12,1.81,2.12,15381,0
SPHL.US,D,20250205,000000,2.2799,2.5,2.05,2.42,99891,0
SPHL.US,D,20250206,000000,2.38,2.41,1.78,1.87,306502,0
SPHL.US,D,20250207,000000,1.88,2.04,1.69,1.72,127712,0
SPHL.US,D,20250210,000000,1.74,1.9,1.42,1.84,260777,0
SPHL.US,D,20250211,000000,1.96,2.18,1.84,1.93,143507,0
SPHL.US,D,20250212,000000,1.87,2.4,1.56,1.92,368520,0
SPHL.US,D,20250213,000000,1.73,2.04,1.73,1.98,155371,0
