<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKZR.US,D,20241112,000000,4,4.46,3.7501,4.1,111852,0
MKZR.US,D,20241113,000000,3.95,4.283,3.95,4.14,27185,0
MKZR.US,D,20241114,000000,4.08,4.3,3.75,3.75,34224,0
MKZR.US,D,20241115,000000,3.76,3.905,3.42,3.63,43595,0
MKZR.US,D,20241118,000000,3.6,3.72,3.55,3.5508,14187,0
MKZR.US,D,20241119,000000,3.56,3.7501,3.5,3.51,4764,0
MKZR.US,D,20241120,000000,3.56,3.56,3.0001,3.26,36313,0
MKZR.US,D,20241121,000000,3.29,3.3,3,3.16,70395,0
MKZR.US,D,20241122,000000,3.2,3.2,3,3.17,21598,0
MKZR.US,D,20241125,000000,3.298,3.298,2.95,3.08,17032,0
MKZR.US,D,20241126,000000,3.195,3.29,3.08,3.28,3716,0
MKZR.US,D,20241127,000000,3.2,3.2366,3.2,3.2366,3597,0
MKZR.US,D,20241202,000000,3.2,3.3,3.2,3.27,34369,0
MKZR.US,D,20241203,000000,3.2,3.25,3.2,3.24,9763,0
MKZR.US,D,20241204,000000,3.29,3.29,3.2,3.25,37912,0
MKZR.US,D,20241205,000000,3.2884,3.3,3.25,3.28,13632,0
MKZR.US,D,20241206,000000,3.26,3.275,3.2,3.25,31643,0
MKZR.US,D,20241209,000000,3.3,3.3,3.1001,3.3,111358,0
MKZR.US,D,20241210,000000,3.3,3.75,3.29,3.7,79688,0
MKZR.US,D,20241211,000000,3.3074,4.16,3.3074,4.05,71711,0
MKZR.US,D,20241212,000000,4.0624,4.2,4,4.18,30035,0
MKZR.US,D,20241213,000000,4.14,4.45,3.89,4.45,39032,0
MKZR.US,D,20241216,000000,4.25,4.95,3.78,4.73,84981,0
MKZR.US,D,20241217,000000,4.59,4.9,4.38,4.54,40439,0
MKZR.US,D,20241218,000000,4.25,5,4.25,4.9,116608,0
MKZR.US,D,20241219,000000,4.75,5,4.14,4.91,93209,0
MKZR.US,D,20241220,000000,4.77,5,4.09,4.84,506729,0
MKZR.US,D,20241223,000000,4.5,4.74,4.01,4.2,85019,0
MKZR.US,D,20241224,000000,4.45,4.46,4.01,4.01,20967,0
MKZR.US,D,20241226,000000,4.23,4.23,4.2,4.2,3544,0
MKZR.US,D,20241227,000000,4,4.2399,3.565,3.88,84306,0
MKZR.US,D,20241230,000000,3.96,4.27,3.91,4,12317,0
MKZR.US,D,20241231,000000,4.095,4.095,3.15,3.16,133238,0
MKZR.US,D,20250102,000000,3.33,3.4547,1.81,1.81,117469,0
MKZR.US,D,20250103,000000,2.15,2.76,2.06,2.745,153848,0
MKZR.US,D,20250106,000000,2.78,3.24,2.5252,3.24,81131,0
MKZR.US,D,20250107,000000,3.18,3.18,2.69,2.86,112459,0
MKZR.US,D,20250108,000000,2.88,3.0079,2.56,2.95,44492,0
MKZR.US,D,20250110,000000,2.9,3.02,2.55,2.7,105333,0
MKZR.US,D,20250113,000000,2.58,2.9,2.58,2.58,18910,0
MKZR.US,D,20250114,000000,2.8858,2.9,2.48,2.52,38978,0
MKZR.US,D,20250115,000000,2.63,2.95,2.52,2.82,62605,0
MKZR.US,D,20250116,000000,2.89,2.89,2.5903,2.73,56804,0
MKZR.US,D,20250117,000000,2.63,2.6351,2.37,2.41,107559,0
MKZR.US,D,20250121,000000,2.58,2.6,2.16,2.17,67936,0
MKZR.US,D,20250122,000000,2.33,2.3488,2.1,2.19,94260,0
MKZR.US,D,20250123,000000,2.3,2.35,2.1,2.33,61038,0
MKZR.US,D,20250124,000000,2.45,2.45,2.15,2.31,81786,0
MKZR.US,D,20250127,000000,2.17,2.32,2.12,2.25,20324,0
MKZR.US,D,20250128,000000,2.21,2.37,2.13,2.34,145982,0
MKZR.US,D,20250129,000000,2.3419,2.3419,2.1301,2.17,67052,0
MKZR.US,D,20250130,000000,2.26,2.334,2.11,2.28,85608,0
MKZR.US,D,20250131,000000,2.18,2.39,2.05,2.16,157489,0
MKZR.US,D,20250203,000000,2.11,2.33,2.11,2.33,10859,0
MKZR.US,D,20250204,000000,2.26,2.26,2.05,2.15,15110,0
MKZR.US,D,20250205,000000,2.14,2.2,2.0716,2.11,5586,0
MKZR.US,D,20250206,000000,2.0764,2.1,2,2.04,9324,0
MKZR.US,D,20250207,000000,2.05,2.13,2.0001,2.02,7208,0
MKZR.US,D,20250210,000000,2.13,2.1391,2.01,2.0219,10475,0
MKZR.US,D,20250211,000000,2,2.0996,1.9505,2.08,17968,0
MKZR.US,D,20250212,000000,2.2268,2.2268,1.8,1.97,19019,0
MKZR.US,D,20250213,000000,2.5717,2.9,2.17,2.65,1597167,0
