<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFAI.US,D,20240708,000000,10.0313,10.04,10.03,10.04,559966,0
RFAI.US,D,20240709,000000,10.0388,10.045,10.0388,10.045,151776,0
RFAI.US,D,20240710,000000,10.04,10.06,10.04,10.05,710014,0
RFAI.US,D,20240711,000000,10.06,10.06,10.05,10.06,385035,0
RFAI.US,D,20240712,000000,10.05,10.05,10.04,10.05,143538,0
RFAI.US,D,20240715,000000,10.05,10.07,10.05,10.06,281249,0
RFAI.US,D,20240716,000000,10.06,10.075,10.06,10.07,161702,0
RFAI.US,D,20240717,000000,10.08,10.08,10.08,10.08,65219,0
RFAI.US,D,20240723,000000,10.09,10.09,10.09,10.09,110,0
RFAI.US,D,20240724,000000,10.09,10.09,10.09,10.09,4891,0
RFAI.US,D,20240726,000000,10.1,10.1,10.1,10.1,18246,0
RFAI.US,D,20240729,000000,10.1,10.1,10.1,10.1,36009,0
RFAI.US,D,20240730,000000,10.0899,10.0899,10.0899,10.0899,6427,0
RFAI.US,D,20240731,000000,10.0819,10.0819,10.07,10.07,20180,0
RFAI.US,D,20240801,000000,10.07,10.07,10.07,10.07,22785,0
RFAI.US,D,20240802,000000,10.0682,10.07,10.06,10.06,3415,0
RFAI.US,D,20240805,000000,10.062,10.062,10.062,10.062,508,0
RFAI.US,D,20240807,000000,10.07,10.07,10.07,10.07,17200,0
RFAI.US,D,20240808,000000,10.08,10.08,10.08,10.08,59685,0
RFAI.US,D,20240812,000000,10.08,10.08,10.08,10.08,7180,0
RFAI.US,D,20240813,000000,10.07,10.071,10.07,10.071,1354,0
RFAI.US,D,20240814,000000,10.0801,10.0833,10.08,10.08,7826,0
RFAI.US,D,20240815,000000,10.08,10.08,10.08,10.08,653,0
RFAI.US,D,20240819,000000,10.08,10.1,10.08,10.09,726721,0
RFAI.US,D,20240820,000000,10.09,10.1,10.09,10.1,152410,0
RFAI.US,D,20240821,000000,10.12,10.12,10.12,10.12,701,0
RFAI.US,D,20240822,000000,10.12,10.12,10.11,10.11,200,0
RFAI.US,D,20240823,000000,10.1485,10.1485,10.1485,10.1485,1406,0
RFAI.US,D,20240826,000000,10.11,10.11,10.1,10.11,2733,0
RFAI.US,D,20240827,000000,10.1,10.1,10.09,10.1,103567,0
RFAI.US,D,20240828,000000,10.103,10.103,10.103,10.103,1800,0
RFAI.US,D,20240829,000000,10.1,10.1,10.1,10.1,25044,0
RFAI.US,D,20240830,000000,10.1,10.11,10.1,10.11,16101,0
RFAI.US,D,20240903,000000,10.11,10.11,10.11,10.11,100031,0
RFAI.US,D,20240904,000000,10.11,10.12,10.11,10.11,9075,0
RFAI.US,D,20240905,000000,10.12,10.18,10.11,10.12,301882,0
RFAI.US,D,20240906,000000,10.12,10.12,10.11,10.11,25915,0
RFAI.US,D,20240909,000000,10.11,10.115,10.11,10.115,512617,0
RFAI.US,D,20240910,000000,10.117,10.12,10.117,10.12,806,0
RFAI.US,D,20240911,000000,10.13,10.13,10.11,10.11,39749,0
RFAI.US,D,20240912,000000,10.11,10.11,10.11,10.11,150152,0
RFAI.US,D,20240916,000000,10.1102,10.1102,10.1,10.1,16161,0
RFAI.US,D,20240917,000000,10.11,10.1187,10.11,10.115,312556,0
RFAI.US,D,20240918,000000,10.12,10.12,10.11,10.1115,14979,0
RFAI.US,D,20240919,000000,10.11,10.16,10.11,10.12,160128,0
RFAI.US,D,20240920,000000,10.12,10.12,10.12,10.12,28534,0
RFAI.US,D,20240923,000000,10.12,10.12,10.12,10.12,2719,0
RFAI.US,D,20240924,000000,10.1432,10.16,10.13,10.16,5653,0
RFAI.US,D,20240926,000000,10.124,10.124,10.124,10.124,1404,0
RFAI.US,D,20240930,000000,10.1682,10.1682,10.1682,10.1682,1000,0
RFAI.US,D,20241001,000000,10.24,10.24,10.12,10.14,2436,0
RFAI.US,D,20241002,000000,10.12,10.12,10.12,10.12,151,0
RFAI.US,D,20241007,000000,10.12,10.135,10.11,10.12,119904,0
RFAI.US,D,20241008,000000,10.13,10.13,10.12,10.125,36106,0
RFAI.US,D,20241009,000000,10.12,10.135,10.12,10.13,90406,0
RFAI.US,D,20241010,000000,10.135,10.14,10.121,10.13,81962,0
