<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GELS.US,D,20241029,000000,4,4.01,2.7,2.94,501213,0
GELS.US,D,20241030,000000,2.9,2.9106,2.094,2.3696,108402,0
GELS.US,D,20241031,000000,2.47,2.92,2.32,2.56,57161,0
GELS.US,D,20241101,000000,2.75,2.75,2.48,2.48,12914,0
GELS.US,D,20241104,000000,2.51,2.74,2.48,2.5601,23150,0
GELS.US,D,20241105,000000,2.56,2.56,2.47,2.49,6851,0
GELS.US,D,20241106,000000,2.49,2.99,2.47,2.5,49704,0
GELS.US,D,20241107,000000,2.65,2.67,2.3,2.3,40949,0
GELS.US,D,20241108,000000,2.532,2.532,2.3,2.3201,9565,0
GELS.US,D,20241111,000000,2.4,2.4717,2.3,2.31,13974,0
GELS.US,D,20241112,000000,2.35,2.41,2.21,2.25,13815,0
GELS.US,D,20241113,000000,2.27,2.42,1.52,1.59,178765,0
GELS.US,D,20241114,000000,1.61,1.7582,1.5,1.62,60446,0
GELS.US,D,20241115,000000,1.59,1.7251,1.59,1.65,11830,0
GELS.US,D,20241118,000000,1.65,1.7798,1.57,1.59,39223,0
GELS.US,D,20241119,000000,1.61,1.7304,1.5501,1.61,10890,0
GELS.US,D,20241120,000000,1.68,1.68,1.42,1.51,8066,0
GELS.US,D,20241121,000000,1.5,1.73,1.5,1.57,27870,0
GELS.US,D,20241122,000000,1.72,1.98,1.5,1.83,33297,0
GELS.US,D,20241125,000000,1.85,1.97,1.71,1.81,34889,0
GELS.US,D,20241126,000000,1.98,2.0216,1.7801,1.86,27987,0
GELS.US,D,20241127,000000,1.91,1.9805,1.86,1.86,14733,0
GELS.US,D,20241129,000000,1.96,2.03,1.915,2,22091,0
GELS.US,D,20241202,000000,2.2,4.9799,2.1001,3.8205,1414597,0
GELS.US,D,20241203,000000,2.9,3.02,2.3,2.84,271125,0
GELS.US,D,20241204,000000,2.78,2.78,2.3001,2.4,63815,0
GELS.US,D,20241205,000000,2.33,2.489,1.7,1.9201,139418,0
GELS.US,D,20241206,000000,2,2.2,1.84,2,33951,0
GELS.US,D,20241209,000000,2.08,3.95,2.07,3.56,9578636,0
GELS.US,D,20241210,000000,4.5,5.5,3.6217,4.41,6455302,0
GELS.US,D,20241211,000000,4.5,5.14,3.6,4.79,878392,0
GELS.US,D,20241212,000000,4.25,4.74,3.05,3.05,517116,0
GELS.US,D,20241213,000000,3.11,3.28,2.51,2.74,255648,0
GELS.US,D,20241216,000000,2.79,3.4,2.5671,3.11,205062,0
GELS.US,D,20241217,000000,3.17,3.39,3.06,3.29,167343,0
GELS.US,D,20241218,000000,3.05,3.3,2.23,2.23,344715,0
GELS.US,D,20241219,000000,2.42,3.02,2.39,2.72,206207,0
GELS.US,D,20241220,000000,2.73,2.9301,2.42,2.59,82704,0
GELS.US,D,20241223,000000,2.59,2.73,2.3519,2.43,87754,0
GELS.US,D,20241224,000000,2.39,2.5799,2.34,2.4408,51029,0
GELS.US,D,20241226,000000,2.49,2.59,2.23,2.46,66719,0
GELS.US,D,20241227,000000,2.48,2.69,2.47,2.48,125935,0
GELS.US,D,20241230,000000,2.51,2.63,2.21,2.31,136095,0
GELS.US,D,20241231,000000,2.32,2.47,2.2373,2.32,108990,0
GELS.US,D,20250102,000000,2.54,2.54,2.25,2.38,55676,0
GELS.US,D,20250103,000000,2.44,2.52,2.28,2.46,140271,0
GELS.US,D,20250106,000000,2.47,2.5,2.3,2.3,189383,0
GELS.US,D,20250107,000000,2.38,2.5451,2.3,2.3,61789,0
GELS.US,D,20250108,000000,2.25,2.49,2.25,2.43,20789,0
GELS.US,D,20250110,000000,2.4,2.4,2.088,2.38,43138,0
GELS.US,D,20250113,000000,2.4,2.4,1.87,2.02,70963,0
GELS.US,D,20250114,000000,2,2.2,1.89,1.96,17989,0
GELS.US,D,20250115,000000,2.05,2.14,1.9084,2.06,25956,0
GELS.US,D,20250116,000000,2.1,2.24,1.9961,2.15,21961,0
GELS.US,D,20250117,000000,2.1,2.3,2.05,2.19,97303,0
GELS.US,D,20250121,000000,2.25,2.3165,1.8901,2.1,40464,0
GELS.US,D,20250122,000000,2.48,2.8,2.25,2.65,7476412,0
GELS.US,D,20250123,000000,2.62,2.9,2.36,2.89,389853,0
GELS.US,D,20250124,000000,2.7,2.84,2.62,2.82,145818,0
GELS.US,D,20250127,000000,2.67,2.84,2.6,2.71,97212,0
GELS.US,D,20250128,000000,2.67,2.77,2.61,2.77,40930,0
GELS.US,D,20250129,000000,2.71,2.8,2.6,2.75,33674,0
GELS.US,D,20250130,000000,2.67,2.82,2.25,2.48,257289,0
GELS.US,D,20250131,000000,2.37,2.394,2.05,2.25,90639,0
GELS.US,D,20250203,000000,2.19,2.4621,2.1,2.2,137709,0
GELS.US,D,20250204,000000,2.25,2.3012,2.16,2.3,25677,0
GELS.US,D,20250205,000000,2.17,2.31,2.1618,2.23,10605,0
GELS.US,D,20250206,000000,2.2,2.29,2.18,2.27,15233,0
GELS.US,D,20250207,000000,2.17,2.31,2.17,2.29,14100,0
GELS.US,D,20250210,000000,2.26,2.2659,2.1,2.24,49811,0
GELS.US,D,20250211,000000,2.16,2.28,2.1,2.19,20948,0
GELS.US,D,20250212,000000,2.15,2.1813,2.11,2.18,9544,0
GELS.US,D,20250213,000000,2.11,2.2934,2.1,2.21,11640,0
