<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNCK.US,D,20241212,000000,13.86,13.99,13.3801,13.6,345422,0
CNCK.US,D,20241213,000000,13.8,13.8,11.4034,12.03,346266,0
CNCK.US,D,20241216,000000,12.06,12.55,10.67,10.67,286621,0
CNCK.US,D,20241217,000000,10.7,10.8,9.26,9.57,252754,0
CNCK.US,D,20241218,000000,9.25,9.66,8.15,8.31,221886,0
CNCK.US,D,20241219,000000,8.2,8.4772,7.6114,8.36,111283,0
CNCK.US,D,20241220,000000,8.78,8.99,8.08,8.19,94865,0
CNCK.US,D,20241223,000000,8.44,8.8,6.55,6.89,140447,0
CNCK.US,D,20241224,000000,7,8,6.8,7.7,94651,0
CNCK.US,D,20241226,000000,7.7,8.6,7.7,8.41,159697,0
CNCK.US,D,20241227,000000,8.5,8.695,8.2692,8.5,55452,0
CNCK.US,D,20241230,000000,9.26,9.28,8.7598,8.86,347081,0
CNCK.US,D,20241231,000000,9.19,9.19,8.77,8.89,92347,0
CNCK.US,D,20250102,000000,9.2,9.28,8.4,8.5,85318,0
CNCK.US,D,20250103,000000,8.75,8.9099,8.5,8.64,52421,0
CNCK.US,D,20250106,000000,9,9.03,8.65,8.91,114020,0
CNCK.US,D,20250107,000000,8.96,9.04,8.61,8.89,99672,0
CNCK.US,D,20250108,000000,8.79,8.95,8.6501,8.9,100110,0
CNCK.US,D,20250110,000000,8.95,8.97,8.6,8.73,118814,0
CNCK.US,D,20250113,000000,8.75,8.9,6.85,7.2,186041,0
CNCK.US,D,20250114,000000,7.96,8.18,7.405,7.72,74155,0
CNCK.US,D,20250115,000000,8,9.305,8,8.96,102120,0
CNCK.US,D,20250116,000000,9,9.29,8.755,8.94,126709,0
CNCK.US,D,20250117,000000,9.24,10.188,9.0086,9.82,153768,0
CNCK.US,D,20250121,000000,10.4,10.52,9.02,9.15,186018,0
CNCK.US,D,20250122,000000,9.15,9.91,9.04,9.57,105430,0
CNCK.US,D,20250123,000000,9.89,9.89,9.33,9.56,88757,0
CNCK.US,D,20250124,000000,9.74,9.898,9.41,9.55,62854,0
CNCK.US,D,20250127,000000,9.44,9.45,8.71,9.02,99286,0
CNCK.US,D,20250128,000000,9.02,9.1604,8.69,8.87,32963,0
CNCK.US,D,20250129,000000,8.93,9.1425,8.41,8.51,33660,0
CNCK.US,D,20250130,000000,8.55,9.345,8.3826,8.9,55192,0
CNCK.US,D,20250131,000000,8.85,8.97,8.5,8.56,30594,0
CNCK.US,D,20250203,000000,8.4225,8.615,8.16,8.16,42646,0
CNCK.US,D,20250204,000000,8.08,8.47,7.8012,8.42,64696,0
CNCK.US,D,20250205,000000,8.4,8.44,7.85,7.86,56875,0
CNCK.US,D,20250206,000000,7.88,8.25,7.88,7.9,41527,0
CNCK.US,D,20250207,000000,8.05,8.1498,7.32,7.5,110815,0
CNCK.US,D,20250210,000000,7.53,7.79,7.51,7.51,31862,0
CNCK.US,D,20250211,000000,7.59,7.67,7.52,7.56,33358,0
CNCK.US,D,20250212,000000,7.55,7.59,6.9,7.03,111590,0
CNCK.US,D,20250213,000000,7.06,7.5,7.06,7.5,33547,0
